id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
485567,KC Restaurant,"Maninagar,Ahmedabad",--,Too Few Ratings,� 600,"Indian,North Indian",2.07E+13,https://www.swiggy.com/restaurants/kc-restaurant-maninagar-ahmedabad-485567,"KC Restaurant, 617, gopal nagar, Hatkeshwar Circle, Khokhra, Mani Nagar, Ahmedabad 380026",Menu/485567.json
147052,Apna Dhaba & Caterers,"Rajouri Garden,Delhi",4.1,1K+ ratings,� 300,"North Indian,Tandoor",1.33E+13,https://www.swiggy.com/restaurants/apna-dhaba-and-caterers-hari-nagar-delhi-147052,"Apna Dhaba & Caterers, BE- 335, Hari Nagar",Menu/147052.json
378133,KRAZZY FOR ICECREAM SUNDAE,"Ruby Area,Kolkata",--,Too Few Ratings,� 400,Desserts,2.28E+13,https://www.swiggy.com/restaurants/krazzy-for-icecream-sundae-ruby-area-kolkata-378133,"KRAZZY FOR ICECREAM SUNDAE, 143 ,Rajdanga Gold Park,Kasba.Kolkata -700107",Menu/378133.json
462090,SIDE DISH KADAI,"Tambaram,Chennai",--,Too Few Ratings,� 200,Chinese,1.24E+13,https://www.swiggy.com/restaurants/side-dish-kadai-tambaram-chennai-462090,"SIDE DISH KADAI, PLOT NO. 12 VENUGOPAL STREET, VELACHERY MAIN ROAD, RAJAKILPAKKAM, CHENNAI, St.Thomas Mount Block, Kancheepuram, Tamil Nadu-600073",Menu/462090.json
8394,Punjab Grill,"Viman Nagar,Pune",3.9,100+ ratings,� 900,"North Indian,Indian",1.15E+13,https://www.swiggy.com/restaurants/punjab-grill-phoenix-market-city-mall-viman-nagar-pune-8394,"Punjab Grill, Level 2, Phoenix Market City,, Nagar Road. Pune,Viman Nagar, Pune",Menu/8394.json
571876,Yashoda's,"Indirapuram,Delhi",--,Too Few Ratings,� 250,"Chinese,Snacks",2.27E+13,https://www.swiggy.com/restaurants/yashodas-indirapuram-noida-1-571876,"Yashoda's, 321A, Shakti Khand 1, Indirapuram, Ghaziabad, U.P.  201014",Menu/571876.json
18637,Sri Nartaki Fast Food,"Alwal,Hyderabad",4,1K+ ratings,� 200,"Indian,Chinese",1.36E+13,https://www.swiggy.com/restaurants/sri-nartaki-fast-food-rudra-road-saraswathi-nagar-colony-hyderabad-18637,"Sri Nartaki Fast Food, Survey No 156, Beside Nartaki theatre, Lothkunta, Hyderabad",Menu/18637.json
211665,DBS FEVERR Shawarma Point,Karimnagar,3.4,20+ ratings,� 200,Lebanese,2.36E+13,https://www.swiggy.com/restaurants/dbs-feverr-shawarma-point-islampura-ashoknagar-karimnagar-211665,"DBS FEVERR Shawarma Point, Near Ahmedpura chowrasta,karimnagar-505001",Menu/211665.json
428120,GOURMET ON THE GO,"Central Bangalore,Bangalore",--,Too Few Ratings,� 250,"South Indian,North Indian",2.12E+13,https://www.swiggy.com/restaurants/gourmet-on-the-go-central-bangalore-bangalore-428120,"GOURMET ON THE GO, Sona Towers, Millers Rd, Vasanth Nagar, Bengaluru, Karnataka 560051, India",Menu/428120.json
156374,Domino's Pizza,Sikar,4,50+ ratings,� 400,Pizzas,1.22E+13,https://www.swiggy.com/restaurants/dominos-pizza-shiv-mandir-cinema-rajasthan-anand-nagar-sikar-156374,"Domino's Pizza, ShopNo2ShivMandirCinemaFatehpurRoadSikarRajasthan332001",Menu/156374.json
